Rentree_Scolaire,Region,Academie,Departement,Commune,Numero_Du_College,Denomination_Principale,Patronyme,Secteur,Nombre_D_Eleves_Total,PRIVE,PUBLIC,priporitaire
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,LALINDE,0240158S,COLLEGE,JEAN MONNET,PUBLIC,352,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,MONTIGNAC,0240927C,COLLEGE,YVON DELBOS,PUBLIC,379,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,MUSSIDAN,0240961P,COLLEGE,LES CHATENADES,PUBLIC,376,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,NEUVIC,0240044T,COLLEGE,HENRI BRETIN,PUBLIC,305,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,PERIGUEUX,0241043D,COLLEGE,LAURE GATET,PUBLIC,449,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,SAINT-CYPRIEN,0240065R,COLLEGE,JEAN LADIGNAC,PUBLIC,254,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,SARLAT-LA-CANEDA,0240121B,COLLEGE,LA BOETIE,PUBLIC,867,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,TERRASSON-LAVILLEDIEU,0240037K,COLLEGE,JULES FERRY,PUBLIC,580,0,1,1
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,THENON,0240066S,COLLEGE,SUZANNE LACORE,PUBLIC,305,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,ARCACHON,0330167C,COLLEGE,MARIE BARTETTE,PUBLIC,355,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BEGLES,0331752A,COLLEGE,MARCELLIN BERTHELOT,PUBLIC,588,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BIGANOS,0330017P,COLLEGE,JEAN ZAY,PUBLIC,548,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BLAYE,0331511N,COLLEGE PRIVE,JEANNE D ARC-ST ROMAIN,PRIVE,242,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BLAYE,0332347X,COLLEGE,SEBASTIEN VAUBAN,PUBLIC,699,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BORDEAUX,0331462K,COLLEGE,FRANCISCO GOYA,PUBLIC,362,0,1,1
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BORDEAUX,0331662C,COLLEGE,ALAIN FOURNIER,PUBLIC,854,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BORDEAUX,0331663D,COLLEGE,CHEVERUS,PUBLIC,518,0,1,0
